the_geom,BoroCode,BoroName,BoroCD,CounDist,AssemDist,StSenDist,CongDist,Shelter_ID,Corner,On_Street,Cross_Stre,Longitude,Latitude,NTAName,FEMAFldz,FEMAFldT,HrcEvac
POINT (-74.02392555236491 40.60910376440875),3,Brooklyn,310,43,46,23,11,BR02745,SW,POLY PL,CROPSEY AV,-74.023927,40.609112,Fort Hamilton,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.95323157136093 40.6696257498274),3,Brooklyn,309,35,43,20,9,BR02746,SE,ROGERS AV,EASTERN PKWY,-73.953233,40.669634,Crown Heights (South),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.9743285691432 40.579808768261685),3,Brooklyn,313,48,46,23,8,BR02747,SE,NEPTUNE AV,W 6 ST,-73.97433,40.579817,Coney Island-Sea Gate,AE,,1
POINT (-73.9356745759258 40.68784774572762),3,Brooklyn,303,36,56,25,8,BR02748,SE,GATES AV,LEWIS AV,-73.935676,40.687856,Bedford-Stuyvesant (East),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.98093256130545 40.68551374802129),3,Brooklyn,302,33,52,26,10,BR02750,NW,ATLANTIC AV,3 AV,-73.980934,40.685522,Downtown Brooklyn-DUMBO-Boerum Hill,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.01206155468526 40.62883776052445),3,Brooklyn,310,43,49,17,11,BR02751,NW,Ft Hamilton Pkwy,BAY RIDGE AV,-74.012063,40.628846,Dyker Heights,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.98308255910807 40.69950074519658),3,Brooklyn,302,33,57,25,7,BR02752,SW,GOLD ST,SANDS ST,-73.983084,40.699509,Downtown Brooklyn-DUMBO-Boerum Hill,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.96693156495844 40.695615745803785),3,Brooklyn,302,35,57,25,7,BR02754,SE,PARK AV,WASHINGTON AV,-73.966933,40.695624,Clinton Hill,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.9224915801492 40.680884746795314),3,Brooklyn,303,41,56,25,8,BR02755,SW,RALPH AV,CHAUNCEY ST,-73.922493,40.680893,Bedford-Stuyvesant (East),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.00478655545194 40.65029275573118),3,Brooklyn,307,38,51,17,10,BR02757,NE,5 AV,41 ST,-74.004788,40.650301,Sunset Park (Central),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.94467357649128 40.616285759991584),3,Brooklyn,318,45,41,21,9,BR02758,NE,KINGS HWY,NOSTRAND AV,-73.944675,40.616294,Flatlands,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.94229057697328 40.61886275980502),3,Brooklyn,318,45,41,21,9,BR02759,NE,KINGS HWY,NEW YORK AV,-73.942292,40.618871,Flatlands,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.93639257477538 40.69152874522391),3,Brooklyn,303,36,56,25,8,BR02760,SE,LAFAYETTE AV,LEWIS AV,-73.936394,40.691537,Bedford-Stuyvesant (East),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.86628460033911 40.65336475039945),3,Brooklyn,305,42,60,19,8,BR02761,NE,Seaview Av (Gateway Dr),ERSKINE ST,-73.866286,40.653373,Spring Creek-Starrett City,X,AREA OF MINIMAL FLOOD HAZARD,3
POINT (-73.86624660024496 40.65339975078222),3,Brooklyn,305,42,60,19,8,BR02762,NE,Seaview Av (Gateway Dr),ERSKINE ST,-73.866248,40.653408,Spring Creek-Starrett City,X,AREA OF MINIMAL FLOOD HAZARD,3
POINT (-73.90862058842862 40.61987675858923),3,Brooklyn,318,46,59,21,8,BR02763,SE,E 70 ST,VETERANS AV,-73.908622,40.619885,Marine Park-Mill Basin-Bergen Beach,X,AREA OF MINIMAL FLOOD HAZARD,3
POINT (-73.97296757029123 40.57586876896783),3,Brooklyn,313,48,46,23,8,BR02764,SE,W 5 ST,SEA BREEZE AV,-73.972969,40.575877,Coney Island-Sea Gate,AE,,1
POINT (-73.86431459973184 40.656351750008206),3,Brooklyn,305,42,60,19,8,BR02765,NW,FOUNTAIN AV,Seaview Av,-73.864316,40.65636,Spring Creek-Starrett City,X,AREA OF MINIMAL FLOOD HAZARD,3
POINT (-73.94827757077829 40.70786274222531),3,Brooklyn,301,34,53,18,7,BR02766,NE,LORIMER ST,MESEROLE ST,-73.948279,40.707871,East Williamsburg,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.91795358033221 40.69634774355228),3,Brooklyn,304,37,53,18,7,BR02767,NE,WILSON AV,GROVE ST,-73.917955,40.696356,Bushwick (East),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.88670359516125 40.631330755471154),3,Brooklyn,318,46,59,19,8,BR02768,NE,ROCKAWAY PKWY,Shore Pkwy Srv Rd North,-73.886705,40.631339,Canarsie,X,AREA OF MINIMAL FLOOD HAZARD,3
POINT (-73.97241557073754 40.57650376946453),3,Brooklyn,313,48,46,23,8,BR02769,SE,W BRIGHTON AV,W 5 ST,-73.972417,40.576512,Coney Island-Sea Gate,AE,,1
POINT (-73.91466258360603 40.67069674876741),3,Brooklyn,316,41,55,25,8,BR02770,NW,East New York Av,STERLING PL,-73.914664,40.670705,Ocean Hill,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.97289857079468 40.57669176891221),3,Brooklyn,313,48,46,23,8,BR02772,NW,W 5 ST,W BRIGHTON AV,-73.9729,40.5767,Coney Island-Sea Gate,AE,,1
POINT (-73.94900257748971 40.58599076672336),3,Brooklyn,315,48,45,23,8,BR02773,SW,OCEAN AV,VOORHIES AV,-73.949004,40.585999,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,AE,,1
POINT (-73.99389656289226 40.59305376692402),3,Brooklyn,311,43,46,17,11,BR02774,NW,CROPSEY AV,BAY 38 ST,-73.993898,40.593062,Gravesend (West),X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,2
POINT (-73.88232259416708 40.656380749899924),3,Brooklyn,305,42,60,19,8,BR02775,NE,COZINE AV,VAN SICLEN AV,-73.882324,40.656389,East New York-New Lots,X,AREA OF MINIMAL FLOOD HAZARD,3
POINT (-73.9784885641614 40.647581755105506),3,Brooklyn,307,39,44,20,10,BR02777,NW,CATON AV,E 3 ST,-73.97849,40.64759,Windsor Terrace-South Slope,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.90352958627271 40.67803874660609),3,Brooklyn,316,37,55,25,7,BR02778,NW,FULTON ST,VAN SINDEREN AV,-73.903531,40.678047,Ocean Hill,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.89937158759082 40.67701274656858),3,Brooklyn,305,37,54,19,7,BR02779,SW,JAMAICA AV,GEORGIA AV,-73.899373,40.677021,East New York (North),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.90610758686653 40.651156752082315),3,Brooklyn,318,42,58,19,8,BR02780,NW,ROCKAWAY AV,AV D,-73.906109,40.651165,East New York-New Lots,X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-73.86606159910721 40.659181749392964),3,Brooklyn,305,42,60,19,8,BR02781,NE,FOUNTAIN AV,N VANDALIA AV,-73.866063,40.65919,East New York-City Line,X,AREA OF MINIMAL FLOOD HAZARD,3
POINT (-73.96428456696829 40.67865774842467),3,Brooklyn,308,35,44,25,10,BR02782,NW,BERGEN ST,WASHINGTON AV,-73.964286,40.678666,Prospect Heights,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.86283160033318 40.66898074677628),3,Brooklyn,305,42,60,19,8,BR02783,SW,ELDERT LANE,LINDEN BLVD,-73.862833,40.668989,East New York-City Line,X,AREA OF MINIMAL FLOOD HAZARD,3
POINT (-73.94216357811567 40.61871975992137),3,Brooklyn,318,45,41,21,9,BR02784,SE,KINGS HWY,NEW YORK AV,-73.942165,40.618728,Flatlands,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.90351658645599 40.678049747204426),3,Brooklyn,316,37,55,25,7,BR02785,NW,Van Sinderen Av,FULTON ST,-73.903518,40.678058,Ocean Hill,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.92144358082504 40.678934747709874),3,Brooklyn,303,41,55,25,8,BR02786,SW,RALPH AV,FULTON ST,-73.921445,40.678943,Bedford-Stuyvesant (East),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.9763405670735 40.60457476359981),3,Brooklyn,311,47,47,17,9,BR02787,SW,KINGS HWY,W 3 ST,-73.976342,40.604583,Gravesend (West),X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.98342856508698 40.60559976419816),3,Brooklyn,311,44,47,17,11,BR02788,NW,KINGS HWY,W 10 ST,-73.98343,40.605608,Gravesend (West),X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.90616058603707 40.66630274881701),3,Brooklyn,316,41,55,25,8,BR02789,NW,Mother Gaston Blvd,BLAKE AV,-73.906162,40.666311,Brownsville,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.9051065865547 40.66463374955456),3,Brooklyn,316,41,55,25,8,BR02790,SE,DUMONT AV,Mother Gaston Blvd,-73.905108,40.664642,Brownsville,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.01643455454364 40.60725176482401),3,Brooklyn,310,43,46,23,11,BR02791,SW,CROPSEY AV,BAY 7 ST,-74.016436,40.60726,Dyker Beach Park,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.9612325725315 40.600861763824064),3,Brooklyn,315,48,45,22,9,BR02794,NE,CONEY ISLAND AV,AV T,-73.961234,40.60087,Gravesend (East)-Homecrest,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.9862785661111 40.583452768673354),3,Brooklyn,313,47,46,23,8,BR02796,NE,CROPSEY AV,CANAL AV,-73.98628,40.583461,Coney Island-Sea Gate,X,AREA OF MINIMAL FLOOD HAZARD,1
POINT (-74.02008855128899 40.64589075703134),3,Brooklyn,307,38,51,26,10,BR02801,NE,2 AV,E 56 ST,-74.02009,40.645899,Sunset Park (West),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.92581257749774 40.713861740633746),3,Brooklyn,301,34,53,18,7,BR02802,SE,METROPOLITAN AV,GARDNER AV,-73.925814,40.71387,East Williamsburg,X,AREA OF MINIMAL FLOOD HAZARD,3
POINT (-73.95514256941065 40.67743074896151),3,Brooklyn,308,35,57,20,9,BR02805,SE,DEAN ST,FRANKLIN AV,-73.955144,40.677439,Crown Heights (North),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.91803658456985 40.632278756470605),3,Brooklyn,318,46,59,19,8,BR02807,SE,FLATLANDS AV,RALPH AV,-73.918038,40.632287,Canarsie,X,AREA OF MINIMAL FLOOD HAZARD,2
POINT (-73.98524255921711 40.68934674732606),3,Brooklyn,302,33,52,26,10,BR02810,SE,LIVINGSTON ST,HOYT ST,-73.985244,40.689355,Downtown Brooklyn-DUMBO-Boerum Hill,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.96384156728107 40.6787507484818),3,Brooklyn,308,35,44,25,10,BR02812,NE,WASHINGTON AV,BERGEN STREET,-73.963843,40.678759,Prospect Heights,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.92118758483639 40.60931376073375),3,Brooklyn,318,46,59,21,8,BR02814,SE,FLATBUSH AV,KINGS PLZ,-73.921189,40.609322,Marine Park-Mill Basin-Bergen Beach,X,AREA OF MINIMAL FLOOD HAZARD,2
POINT (-73.9206905846621 40.6088897611762),3,Brooklyn,318,46,59,21,8,BR02818,SE,FLATBUSH AV,KINGS PLZ (AV V ),-73.920692,40.608898,Marine Park-Mill Basin-Bergen Beach,X,AREA OF MINIMAL FLOOD HAZARD,2
POINT (-73.99954055541431 40.67498575076076),3,Brooklyn,306,39,51,26,10,BR0282,SW,COURT ST,W 9 ST,-73.999542,40.674994,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-73.9212695847441 40.609191761105244),3,Brooklyn,318,46,59,21,8,BR02820,ES,FLATBUSH AV,KINGS PLZ,-73.921271,40.6092,Marine Park-Mill Basin-Bergen Beach,X,AREA OF MINIMAL FLOOD HAZARD,2
POINT (-73.92115558434675 40.6090927606398),3,Brooklyn,318,46,59,21,8,BR02821,SE,FLATBUSH AV,KINGS PLZ,-73.921157,40.609101,Marine Park-Mill Basin-Bergen Beach,X,AREA OF MINIMAL FLOOD HAZARD,2
POINT (-73.91823858323257 40.65137275295062),3,Brooklyn,317,42,58,19,9,BR02834,NE,REMSEN AV,AV A,-73.91824,40.651381,East Flatbush-Remsen Village,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.97351356933774 40.59685576527418),3,Brooklyn,315,47,45,22,8,BR02835,SW,AV U,MCDONALD AV,-73.973515,40.596864,Gravesend (East)-Homecrest,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.98731556346299 40.62181576123618),3,Brooklyn,312,44,48,22,9,BR02842,SE,18 AV,60 ST,-73.987317,40.621824,Mapleton-Midwood (West),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.03246754866925 40.61975976306573),3,Brooklyn,310,43,46,26,11,BR02845,SE,3 AV,E 92 ST,-74.032469,40.619768,Bay Ridge,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.92786857964981 40.66476174987335),3,Brooklyn,317,41,58,19,9,BR02846,SE,East New York Av,E 94 ST,-73.92787,40.66477,East Flatbush-Remsen Village,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.0231435526678 40.60890276423474),3,Brooklyn,310,43,46,26,11,BR02849,NE,POLY PL,7 AV,-74.023145,40.608911,Dyker Beach Park,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.88269259267236 40.68504374463875),3,Brooklyn,305,37,54,18,7,BR02853,SE,JAMAICA AV,SHEPHERD AV,-73.882694,40.685052,Cypress Hills,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.91072158447652 40.66994674854192),3,Brooklyn,316,41,55,25,8,BR02859,NE,ROCKAWAY AV,PITKIN AV,-73.910723,40.669955,Brownsville,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.9269755830321 40.61860475923269),3,Brooklyn,318,46,59,21,8,BR02863,SW,UTICA AV,AV N,-73.926977,40.618613,Flatlands,X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-73.95562357163963 40.646375755067496),3,Brooklyn,314,40,42,21,9,BR02876,SW,BEDFORD AV,TILDEN AV,-73.955625,40.646384,Flatbush,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.94283357156584 40.70728774288249),3,Brooklyn,301,34,53,18,7,BR02884,SW,MONTROSE AV,GRAHAM AV,-73.942835,40.707296,East Williamsburg,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.91829858395609 40.632402756288585),3,Brooklyn,318,46,59,19,8,BR02886,NE,FLATLANDS AV,RALPH AV,-73.9183,40.632411,Canarsie,X,AREA OF MINIMAL FLOOD HAZARD,3
POINT (-73.96991856566672 40.67513974970905),3,Brooklyn,355,39,52,20,10,BR02899,SW,VANDERBILT AV,PLAZA ST EAST,-73.96992,40.675148,Park Slope,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.94022157239931 40.71196674182671),3,Brooklyn,301,34,53,18,7,BR02900,SE,GRAND ST,BUSHWICK AV,-73.940223,40.711975,East Williamsburg,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.9016865918001 40.59112576392061),3,Brooklyn,356,46,59,19,8,BR02901,SE,FLATBUSH AV,BELT PKWY,-73.901688,40.591134,Barren Island-Floyd Bennett Field,X,AREA OF MINIMAL FLOOD HAZARD,2
POINT (-73.90240859220842 40.59125476343017),3,Brooklyn,356,46,59,22,8,BR02902,SW,FLATBUSH AV,BELT PKWY,-73.90241,40.591263,Marine Park-Plumb Island,X,AREA OF MINIMAL FLOOD HAZARD,2
POINT (-73.91811158436265 40.6261707576502),3,Brooklyn,318,46,59,21,8,BR02904,SW,RALPH AV,AV K,-73.918113,40.626179,Flatlands,X,AREA OF MINIMAL FLOOD HAZARD,3
POINT (-73.93845158033056 40.58403276662714),3,Brooklyn,315,48,41,23,8,BR02906,NE,EMMONS AV,NOSTRAND AV,-73.938453,40.584041,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,1
POINT (-73.95059157730263 40.583965767140576),3,Brooklyn,315,48,45,23,8,BR02908,NE,SHEEPSHEAD BAY RD,EMMONS AV,-73.950593,40.583974,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,AE,,1
POINT (-73.98007056320398 40.64739775546741),3,Brooklyn,307,39,44,20,10,BR02909,NE,CATON AV,MCDONALD AV,-73.980072,40.647406,Windsor Terrace-South Slope,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.98919055776773 40.69287474697595),3,Brooklyn,302,33,52,26,10,BR02910,NW,ADAMS ST,BKLYN SUPREME COURT,-73.989192,40.692883,Downtown Brooklyn-DUMBO-Boerum Hill,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.99495755952314 40.63240375878654),3,Brooklyn,312,44,48,22,10,BR02911,NW,13 AV,54 ST,-73.994959,40.632412,Borough Park,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.97261757051764 40.57997776807939),3,Brooklyn,313,47,46,23,8,BR02915,NW,NEPTUNE AV,W 5 ST,-73.972619,40.579986,Coney Island-Sea Gate,AE,,1
POINT (-73.91691058229334 40.668680748871),3,Brooklyn,316,41,55,25,8,BR02916,SE,PITKIN AV,SARATOGA AV,-73.916912,40.668689,Brownsville,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.91486258377715 40.669131749047615),3,Brooklyn,316,41,55,25,8,BR02917,NW,PITKIN AV,AMBOY ST,-73.914864,40.66914,Brownsville,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.91292258342811 40.66942774912793),3,Brooklyn,316,41,55,25,8,BR02918,NW,PITKIN AV,BRISTOL ST,-73.912924,40.669436,Brownsville,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.90855258585493 40.66992474815762),3,Brooklyn,316,41,55,25,8,BR02919,SE,PITKIN AV,OSBORN ST,-73.908554,40.669933,Brownsville,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.9992285608289 40.599961765777216),3,Brooklyn,311,47,47,17,11,BR02922,NE,BATH AV,21 AV,-73.99923,40.59997,Bath Beach,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.86303260011373 40.66920274748129),3,Brooklyn,305,42,60,19,8,BR02923,SW,LINDEN BLVD,ELDERT LANE,-73.863034,40.669211,East New York-City Line,X,AREA OF MINIMAL FLOOD HAZARD,3
POINT (-73.9677235661046 40.682025748106746),3,Brooklyn,302,35,57,25,7,BR02926,NW,VANDERBILT AV,ATLANTIC AV,-73.967725,40.682034,Clinton Hill,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.02678454930819 40.63367476013448),3,Brooklyn,310,43,64,26,11,BR02927,NE,3 AV,72 ST,-74.026786,40.633683,Bay Ridge,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.99310355981096 40.64482975657116),3,Brooklyn,312,38,51,17,10,BR02929,NW,39 ST,10 AV,-73.993105,40.644838,Sunset Park (East)-Borough Park (West),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.89314359190638 40.63704775433658),3,Brooklyn,318,46,58,19,8,BR02932,SE,ROCKAWAY PKWY,AV M,-73.893145,40.637056,Canarsie,X,AREA OF MINIMAL FLOOD HAZARD,3
POINT (-73.9970785565803 40.68008974946112),3,Brooklyn,306,39,52,26,10,BR02933,SW,COURT ST,1 Pl,-73.99708,40.680098,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.90607558782563 40.64047875446911),3,Brooklyn,318,46,59,19,8,BR02934,NE,REMSEN AV,FLATLANDS AV,-73.906077,40.640487,Canarsie,X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-73.94705157675688 40.59993376410116),3,Brooklyn,315,48,41,22,8,BR02935,NW,AV U,BEDFORD AV,-73.947053,40.599942,Madison,X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-74.02239355133136 40.629444760128834),3,Brooklyn,310,43,46,26,11,BR02936,NE,BAY RIDGE PKWY,5 AV,-74.022395,40.629453,Bay Ridge,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.00973155648862 40.611649763161715),3,Brooklyn,311,43,47,26,11,BR02939,NW,86 ST,15 AV,-74.009733,40.611658,Bath Beach,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.95361356960154 40.68354774773996),3,Brooklyn,303,36,57,25,8,BR02940,SE,PUTNAM AV,BEDFORD AV,-73.953615,40.683556,Bedford-Stuyvesant (West),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.92776258166151 40.62847575728889),3,Brooklyn,318,46,41,21,9,BR02941,NE,UTICA AV,AV J,-73.927764,40.628484,Flatlands,X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-74.01533055341488 40.6264257612248),3,Brooklyn,310,43,49,26,11,BR02942,NE,Ft Hamilton Pkwy,74 ST,-74.015332,40.626434,Dyker Heights,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.94513457776259 40.600136763892095),3,Brooklyn,315,46,41,22,8,BR02943,NW,AV U,E 27 ST,-73.945136,40.600145,Madison,X,AREA OF MINIMAL FLOOD HAZARD,3
POINT (-73.91557358532793 40.63387775602876),3,Brooklyn,318,46,59,19,8,BR02944,SW,FLATLANDS AV,E 77 ST,-73.915575,40.633886,Canarsie,X,AREA OF MINIMAL FLOOD HAZARD,3
POINT (-73.95319257554993 40.59909476415811),3,Brooklyn,315,48,41,22,8,BR02945,SE,AV U,E 16 ST,-73.953194,40.599103,Madison,X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-73.96041456603434 40.709389743015585),3,Brooklyn,301,34,50,18,7,BR02946,NE,BROADWAY,ROEBLING ST,-73.960416,40.709398,Williamsburg,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.92215158031931 40.67437274862884),3,Brooklyn,308,41,55,20,8,BR02947,SW,RALPH AV,BERGEN ST,-73.922153,40.674381,Crown Heights (North),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.98314756062578 40.68971474702415),3,Brooklyn,302,33,52,26,10,BR02949,SW,FULTON ST,BOND ST,-73.983149,40.689723,Downtown Brooklyn-DUMBO-Boerum Hill,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.98401556087542 40.67175275122816),3,Brooklyn,306,39,44,26,10,BR0295,NE,5 AV,5 ST,-73.984017,40.671761,Park Slope,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.9161395808414 40.69516874430263),3,Brooklyn,304,37,53,18,7,BR02950,SW,WILSON AV,GATES AV,-73.916141,40.695177,Bushwick (East),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.92227858068554 40.671250749123296),3,Brooklyn,316,41,55,25,9,BR02951,NE,RALPH AV,STERLING PL,-73.92228,40.671259,Ocean Hill,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.02710555037686 40.61686276274288),3,Brooklyn,310,43,46,26,11,BR02952,NW,92 ST,GATLING PL,-74.027107,40.616871,Bay Ridge,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.95545557362802 40.618578760753266),3,Brooklyn,314,48,41,22,9,BR02953,NW,AV M,OCEAN AV,-73.955457,40.618587,Midwood,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.9121795866517 40.63634875532198),3,Brooklyn,318,46,59,19,8,BR02954,NW,FLATLANDS AV,E 82 ST,-73.912181,40.636357,Canarsie,X,AREA OF MINIMAL FLOOD HAZARD,3
POINT (-73.9167155854383 40.633422755783926),3,Brooklyn,318,46,59,19,8,BR02955,NW,FLATLANDS AV,E 76 ST,-73.916717,40.633431,Canarsie,X,AREA OF MINIMAL FLOOD HAZARD,3
POINT (-73.8744115952095 40.68921474358639),3,Brooklyn,305,37,54,18,7,BR02956,NW,JAMAICA AV,CRESCENT ST,-73.874413,40.689223,Highland Park-Cypress Hills Cemeteries (South),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.98574155919354 40.69075174685683),3,Brooklyn,302,33,52,26,10,BR02957,SW,FULTON ST,HOYT ST,-73.985743,40.69076,Downtown Brooklyn-DUMBO-Boerum Hill,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.98266556012733 40.68962974712157),3,Brooklyn,302,33,52,26,7,BR02959,NE,FULTON ST,BOND ST,-73.982667,40.689638,Fort Greene,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.98704555838881 40.69138774704092),3,Brooklyn,302,33,52,26,10,BR02961,NE,FULTON ST,JAY ST,-73.987047,40.691396,Downtown Brooklyn-DUMBO-Boerum Hill,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.98760655815501 40.69150074757107),3,Brooklyn,302,33,52,26,10,BR02962,SW,FULTON ST,SMITH ST,-73.987608,40.691509,Downtown Brooklyn-DUMBO-Boerum Hill,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.98271056013434 40.689648747517346),3,Brooklyn,302,33,52,26,7,BR02964,NE,FULTON ST,BOND ST,-73.982712,40.689657,Fort Greene,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.98708355844539 40.69139974704692),3,Brooklyn,302,33,52,26,10,BR02965,NE,FULTON ST,JAY ST,-73.987085,40.691408,Downtown Brooklyn-DUMBO-Boerum Hill,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.94628157428463 40.65088775339715),3,Brooklyn,317,45,42,21,9,BR02967,SE,CHURCH AV,NEW YORK AV,-73.946283,40.650896,East Flatbush-Erasmus,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.94810157647458 40.61386276073074),3,Brooklyn,314,48,41,22,9,BR02968,NE,KINGS HWY,E 26 ST,-73.948103,40.613871,Madison,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.93020058196392 40.60497476187765),3,Brooklyn,318,46,59,22,8,BR02969,NW,AV U,E 33 St,-73.930202,40.604983,Marine Park-Plumb Island,X,AREA OF MINIMAL FLOOD HAZARD,3
POINT (-73.92321457937213 40.68499974650275),3,Brooklyn,303,41,56,25,8,BR02970,NW,RALPH AV,HALSEY ST,-73.923216,40.685008,Bedford-Stuyvesant (East),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.96964356574138 40.67513674990633),3,Brooklyn,355,39,52,20,10,BR02971,SE,VANDERBILT AV,PLAZA ST EAST,-73.969645,40.675145,Park Slope,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.96046656919209 40.65977875278732),3,Brooklyn,309,40,43,20,9,BR02972,NE,FLATBUSH AV,MIDWOOD ST,-73.960468,40.659787,Prospect Lefferts Gardens-Wingate,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.93977257565501 40.65949975189923),3,Brooklyn,309,40,43,20,9,BR02973,NW,ALBANY AV,FENIMORE ST,-73.939774,40.659508,Prospect Lefferts Gardens-Wingate,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.97252557074896 40.5772757693637),3,Brooklyn,313,48,46,23,8,BR02974,NE,W 5 ST,W BRIGHTON AV,-73.972527,40.577284,Coney Island-Sea Gate,AE,,1
